title,date,author,link,category,website
Kenali 5 Tanda Anda Sedang Dimanipulasi Pasangan,30 Maret 2022 16:05 WIB,Yulia Lisnawati,https://www.liputan6.com/citizen6/read/4925254/kenali-5-tanda-anda-sedang-dimanipulasi-pasangan,biasa,liputan.com
"Anggaran Baju Dinas DPRD DKI Jakarta Rp1,7 M, Pemprov: Selama Ada di APBD Kami Bayar",30 Maret 2022 16:02 WIB,Liputan6.com,https://www.liputan6.com/news/read/4925305/anggaran-baju-dinas-dprd-dki-jakarta-rp17-m-pemprov-selama-ada-di-apbd-kami-bayar,biasa,liputan.com
"Tabrakan Adu Banteng Kijang dan APV Terekam Kamera Dashboard, Videonya Viral",30 Maret 2022 16:02 WIB,Liputan6.com,https://www.liputan6.com/otomotif/read/4925319/tabrakan-adu-banteng-kijang-dan-apv-terekam-kamera-dashboard-videonya-viral,biasa,liputan.com
"Cha Eun Woo Ultah ke-26, Potret Jarinya Disukai Hampir 5 Juta Pengikut",30 Maret 2022 16:02 WIB,Komarudin,https://www.liputan6.com/lifestyle/read/4925251/cha-eun-woo-ultah-ke-26-potret-jarinya-disukai-hampir-5-juta-pengikut,biasa,liputan.com
Indonesia Jadi Raja Ekonomi Digital Asia Tenggara,30 Maret 2022 16:00 WIB,Liputan6.com,https://www.liputan6.com/bisnis/read/4925309/indonesia-jadi-raja-ekonomi-digital-asia-tenggara,biasa,liputan.com
Link Live Streaming BRI Liga 1 Malam Hari Ini : Persebaya Surabaya Vs Borneo FC di Vidio 20.00,30 Maret 2022 16:00 WIB,Isyhari Maheswar,https://www.liputan6.com/bola/read/4924985/link-live-streaming-bri-liga-1-malam-hari-ini-persebaya-surabaya-vs-borneo-fc-di-vidio-2000,biasa,liputan.com
6 Potret Persiapan Azka Corbuzier Jelang Tinju Lawan Vicky Prasetyo,30 Maret 2022 16:00 WIB,Putra Marenda,https://hot.liputan6.com/read/4925183/6-potret-persiapan-azka-corbuzier-jelang-tinju-lawan-vicky-prasetyo,biasa,liputan.com
"Medina Zein dan Lukman Azhari Pisah Ranjang 1,5 Bulan, Ngaku Lagi Healing Sambil Instrospeksi Diri",30 Maret 2022 16:00 WIB,Wayan Diananto,https://www.liputan6.com/showbiz/read/4925205/medina-zein-dan-lukman-azhari-pisah-ranjang-15-bulan-ngaku-lagi-healing-sambil-instrospeksi-diri,biasa,liputan.com
"Kurma Jadi Makanan Khas Bulan Puasa, Ternyata Ini Manfaatnya bagi Kesehatan",30 Maret 2022 16:00 WIB,Diviya Agatha,https://www.liputan6.com/health/read/4925009/kurma-jadi-makanan-khas-bulan-puasa-ternyata-ini-manfaatnya-bagi-kesehatan,biasa,liputan.com
Pemkab Kediri Kembangkan Aplikasi Pantau Ibu Hamil untuk Mencegah Stunting,30 Maret 2022 16:00 WIB,Liputan6.com,https://surabaya.liputan6.com/read/4924729/pemkab-kediri-kembangkan-aplikasi-pantau-ibu-hamil-untuk-mencegah-stunting,biasa,liputan.com
"Tonton Sekarang, Live Streaming PMPL ID Spring 2022 Pekan Kedua 30 - 3 April 2022 di Vidio",30 Maret 2022 16:00 WIB,Isyhari Maheswar,https://www.liputan6.com/tekno/read/4925030/tonton-sekarang-live-streaming-pmpl-id-spring-2022-pekan-kedua-30-3-april-2022-di-vidio,biasa,liputan.com
"Jembatan di Jalan Nasional Lamongan Ambles, ini Dua Jalur Alternatif untuk Pengendara",30 Maret 2022 16:00 WIB,Liputan6.com,https://jatim.liputan6.com/read/4925292/jembatan-di-jalan-nasional-lamongan-ambles-ini-dua-jalur-alternatif-untuk-pengendara,biasa,liputan.com
"Bertambah Lagi, Simak Sebaran Hoaks Seputar Vaksin Covid-19 di Media Sosial",30 Maret 2022 16:00 WIB,Adyaksa Vidi,https://www.liputan6.com/cek-fakta/read/4925152/bertambah-lagi-simak-sebaran-hoaks-seputar-vaksin-covid-19-di-media-sosial,biasa,liputan.com
"Kejar Target Booster, 200 Ribu Vial Vaksin Covid-19 di Kepri Malah Ditemukan Kedaluarsa",30 Maret 2022 16:00 WIB,Ajang Nurdin,https://www.liputan6.com/regional/read/4924808/kejar-target-booster-200-ribu-vial-vaksin-covid-19-di-kepri-malah-ditemukan-kedaluarsa,biasa,liputan.com
"DPR Setuju Pertamina Sesuaikan Harga BBM Nonsubsidi Ikuti Keekonomian, Pertamax Jadi Naik?",29 Maret 2022 18:09 WIB,Natasha Khairunisa Amani,https://www.liputan6.com/bisnis/read/4924493/dpr-setuju-pertamina-sesuaikan-harga-bbm-nonsubsidi-ikuti-keekonomian-pertamax-jadi-naik,popular,liputan.com
"Erick Thohir Cek Pembangunan Bali International Hospital, Sampai Mana?",29 Maret 2022 17:30 WIB,Arief Rahman Hakim,https://www.liputan6.com/bisnis/read/4924429/erick-thohir-cek-pembangunan-bali-international-hospital-sampai-mana,popular,liputan.com
"HEADLINE: Tarif PPN 11 Persen Berlaku 1 April 2022, Berimbas ke Harga Barang-Barang?",30 Maret 2022 00:00 WIB,Arthur Gideon,https://www.liputan6.com/bisnis/read/4924608/headline-tarif-ppn-11-persen-berlaku-1-april-2022-berimbas-ke-harga-barang-barang,popular,liputan.com
Adam Deni Berani Laporkan Ahmad Sahroni ke KPK karena Sudah Kumpulkan Bukti Kuat,30 Maret 2022 09:00 WIB,Sapto Purnomo,https://www.liputan6.com/showbiz/read/4924631/adam-deni-berani-laporkan-ahmad-sahroni-ke-kpk-karena-sudah-kumpulkan-bukti-kuat,popular,liputan.com
"Harga Pertamax Naik per April 2022, Benarkah?",29 Maret 2022 20:26 WIB,Liputan6.com,https://www.liputan6.com/news/read/4924508/harga-pertamax-naik-per-april-2022-benarkah,popular,liputan.com
"Lucky Andreono Masterchef Indonesia Meninggal Dunia, Ini Profil Sang Juara Pertama dari Season 1",30 Maret 2022 06:56 WIB,Panditio Rayendra,https://www.liputan6.com/showbiz/read/4924776/lucky-andreono-masterchef-indonesia-meninggal-dunia-ini-profil-sang-juara-pertama-dari-season-1,popular,liputan.com
"Enkripsi WhatsApp Disebut Bisa Rusak Gara-Gara Aturan Baru Eropa, Ada Apa?",29 Maret 2022 19:00 WIB,Agustin Setyo Wardani,https://www.liputan6.com/tekno/read/4924060/enkripsi-whatsapp-disebut-bisa-rusak-gara-gara-aturan-baru-eropa-ada-apa,popular,liputan.com
"Pondasi Tergerus Air, Rumah Warga di Banyuwangi Ambruk",29 Maret 2022 19:06 WIB,Hermawan Arifianto,https://surabaya.liputan6.com/read/4924003/pondasi-tergerus-air-rumah-warga-di-banyuwangi-ambruk,popular,liputan.com
Keluarga Dorce Minta Sumbangan untuk Mendiang Dorce Gamalama yang Digunakan Anak Angkat untuk Diaudit,29 Maret 2022 20:20 WIB,Aditia Saputra,https://www.liputan6.com/showbiz/read/4924602/keluarga-dorce-minta-sumbangan-untuk-mendiang-dorce-gamalama-yang-digunakan-anak-angkat-untuk-diaudit,popular,liputan.com
"Sony Rombak Layanan PlayStation Plus per Juni 2022, Kini Tersedia 3 Tiers",29 Maret 2022 20:17 WIB,Yuslianson,https://www.liputan6.com/tekno/read/4924615/sony-rombak-layanan-playstation-plus-per-juni-2022-kini-tersedia-3-tiers,popular,liputan.com
Tips Terhindar Beli Daging Gelonggongan Jelang Ramadan ala Guru Besar Unair,29 Maret 2022 18:06 WIB,Dian Kurniawan,https://surabaya.liputan6.com/read/4924201/tips-terhindar-beli-daging-gelonggongan-jelang-ramadan-ala-guru-besar-unair,popular,liputan.com
Top 3: DPR Setujui Harga BBM Nonsubsidi Sesuai Keekonomian,30 Maret 2022 06:30 WIB,Arief Rahman Hakim,https://www.liputan6.com/bisnis/read/4924677/top-3-dpr-setujui-harga-bbm-nonsubsidi-sesuai-keekonomian,popular,liputan.com
Gamer Ini Sukses Tamatkan Elden Ring dalam Waktu Kurang dari 20 Menit,30 Maret 2022 07:30 WIB,Yuslianson,https://www.liputan6.com/tekno/read/4923881/gamer-ini-sukses-tamatkan-elden-ring-dalam-waktu-kurang-dari-20-menit,popular,liputan.com
Peminat Vaksinasi Booster di Surabaya Meningkat Jelang Ramadan,30 Maret 2022 07:08 WIB,Dian Kurniawan,https://surabaya.liputan6.com/read/4924556/peminat-vaksinasi-booster-di-surabaya-meningkat-jelang-ramadan,popular,liputan.com
"Karaoke, Spa dan Diskotek di Surabaya Wajib Tutup Saat Ramadan",30 Maret 2022 05:08 WIB,Dian Kurniawan,https://surabaya.liputan6.com/read/4924490/karaoke-spa-dan-diskotek-di-surabaya-wajib-tutup-saat-ramadan,popular,liputan.com
"Festival Paku Bumi, Ajang Icip-Icip Kuliner Tradisional Khas Banyuwangi",30 Maret 2022 06:08 WIB,Hermawan Arifianto,https://surabaya.liputan6.com/read/4923956/festival-paku-bumi-ajang-icip-icip-kuliner-tradisional-khas-banyuwangi,popular,liputan.com
Bareskrim Tegaskan Punya Alat Bukti Yang Cukup Tetapkan Saifuddin Ibrahim Jadi Tersangka,30 Maret 2022 15:22 WIB,Igman Ibrahim,https://www.tribunnews.com/nasional/2022/03/30/bareskrim-tegaskan-punya-alat-bukti-yang-cukup-tetapkan-saifuddin-ibrahim-jadi-tersangka,biasa,tribun.com
"Mantan Stafsus Bantah Terawan Mengiklankan Diri soal Terapi Cuci Otak, Minta Pembuktian IDI",30 Maret 2022 15:10 WIB,Milani Resti Dilanggi,https://www.tribunnews.com/nasional/2022/03/30/mantan-stafsus-bantah-terawan-mengiklankan-diri-soal-terapi-cuci-otak-minta-pembuktian-idi,biasa,tribun.com
"10 Negara yang Saat Ini Mengalami Lonjakan Kasus Covid-19, Inggris hingga Korea Selatan",30 Maret 2022 15:32 WIB,Tiara Shelavie,https://www.tribunnews.com/internasional/2022/03/30/10-negara-yang-saat-ini-mengalami-lonjakan-kasus-covid-19-inggris-hingga-korea-selatan,biasa,tribun.com
SMRC: 64% Publik Puas Terhadap Kinerja Presiden Jokowi tapi Tren Selama 3 Bulan Alami Penurunan,30 Maret 2022 15:06 WIB,Reza Deni,https://www.tribunnews.com/nasional/2022/03/30/smrc-64-publik-puas-terhadap-kinerja-presiden-jokowi-tapi-tren-selama-3-bulan-alami-penurunan,biasa,tribun.com
"Kapan Puasa Ramadan 2022? Muhammadiyah Tanggal 2 April, Kemenag Gelar Sidang Isbat 1 April",30 Maret 2022 14:54 WIB,Devi Rahma Syafira,https://www.tribunnews.com/ramadan/2022/03/30/kapan-puasa-ramadan-2022-muhammadiyah-tanggal-2-april-kemenag-gelar-sidang-isbat-1-april,biasa,tribun.com
Perampok yang Bunuh Satpam di Semarang Dibekuk Sekitar 6 Jam Usai Dilaporkan,30 Maret 2022 17:18 WIB,Eko Sutriyanto,https://www.tribunnews.com/regional/2022/03/30/perampok-yang-bunuh-satpam-di-semarang-dibekuk-sekitar-6-jam-usai-dilaporkan,biasa,tribun.com
SMRC: 41 Persen Publik Nilai Kinerja Pemerintah Semakin Memburuk Tangani Harga Sembako,30 Maret 2022 15:26 WIB,Reza Deni,https://www.tribunnews.com/nasional/2022/03/30/smrc-41-persen-publik-nilai-kinerja-pemerintah-semakin-memburuk-tangani-harga-sembako,biasa,tribun.com
